Station,level_1,corr
"Anantnag (PM-10, PM-2.5) 1084",AQI,0.7770251097768884
"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",AQI,0.3528458279410165
"Bandipora (PM-10, PM-2.5) 1085",AQI,0.5914798762762307
"Baramulla DFO Office (PM-10, PM-2.5) 1078",AQI,0.2356751269113061
"Baramulla JKPCC Office (PM-10, PM-2.5) 1079",AQI,0.5685288705638274
"Ganderbal DFO Office (PM-10, PM-2.5) 1083",AQI,0.7733322990063282
"Hokersar Wildlife Office (PM-10, PM-2.5) 1076",AQI,0.6776707177415475
"I.G.C Lassipora Pulwama (PM-10, PM-2.5) 1082",AQI,0.9091211732161406
"J&K PCC Rajbagh Srinagar (PM-10, PM-2.5) 910",AQI,0.4474514549179814
Jammu Bantalab Ayurvedic Hospital,AQI,0.9956503393777046
Jammu Belicharana,AQI,0.994692632214045
Jammu Dogra Hall CCF Office 1070,AQI,0.7742651926754767
Jammu JKPCC Narwal  184,AQI,0.9279349309169277
Jammu MAM Stadium  482,AQI,0.8329019440534757
Jammu Manda Zoo,AQI,1.0
Jammu Nagbani Forest Office,AQI,0.9533043388492644
Jammu PDD Power House near High Court Janipur 1071,AQI,0.9276923959571404
Jammu Sidhra Forest Nursery,AQI,0.941771571411438
Jammu Vikram Chowk Forest Information Center 1072,AQI,0.9493752250593095
Kathua Forest Complex 1069,AQI,0.9996005325886044
Kathua Industrial Area 1068,AQI,0.9986721221951257
Kralsangri Srinagar (PM-10),AQI,0.9243710414185898
"Kulgam near D.I.C Building (PM-10, PM-2.5) 1086",AQI,0.6984685247707144
"SIDCO Complex Ompora Budgam (PM-10, PM-2.5) 1081",AQI,0.823345897078964
Samba BariBrahmna Industrial area 507,AQI,0.7797497490986097
Samba PCC Office Phase -1 1066,AQI,0.9948737169686194
"Shopian Bongam  (PM-10, PM-2.5) 1080",AQI,0.6031963640144031
Udhampur PCC Office Battal Ballian 1063,AQI,0.9515367179909752
Zakura Srinagar (PM-10),AQI,
