Station,AQI,PM10,PM2_5,NO2,SO2
Doda PCC Office Near Bus Stand 1065,-0.5165426534613617,-0.250871093356137,0.022275154864751893,,
Jammu Bantalab Ayurvedic Hospital,0.7360258845799136,0.6264592680625813,0.9073681147615982,0.4669426695176473,0.08338876405703975
Jammu Belicharana,0.8215429035247037,0.6527998647375681,0.914761377080134,0.47647872478895587,0.3721565178258374
Jammu Dogra Hall CCF Office 1070,0.42240018603182683,0.38279801081354664,0.8368554855550278,0.6604707137034449,-0.23020830891207134
Jammu JKPCC Narwal  184,0.8881216548480532,0.8389401134448433,0.9274333069285544,0.7891260476817448,0.2434532979658813
Jammu MAM Stadium  482,0.9593276905702143,0.8830770652710215,0.907435628750182,0.862678739840024,0.2894522205200225
Jammu Manda Zoo,0.8066054476267274,0.23072048485604493,-0.18594289507497838,0.7781526797571522,-0.3394911083030461
Jammu Nagbani Forest Office,0.6562086119176564,0.8995435234693319,0.7104459366282375,0.5245569230720568,0.11757954604105753
Jammu PDD Power House near High Court Janipur 1071,0.9336603857893554,0.909586562968183,0.9332251758992567,0.7211760457535494,0.3094424638810166
Jammu Sidhra Forest Nursery,0.9052665492331473,0.8310265014535848,0.8285646338291917,0.5031734920947954,0.08889611546133602
Jammu Vikram Chowk Forest Information Center 1072,0.778450694632941,0.6232513573748819,0.9047599751668403,0.5743322681160675,0.030659589235779983
Samba BariBrahmna Industrial area 507,0.40110184571957574,0.8739252061562095,0.9273630290121575,0.8117876748465859,0.40087132905239126
Kathua Forest Complex 1069,0.6218792036182457,0.4033972009956053,0.2480276478832686,0.5025559269480594,0.48137093004243836
Kathua Industrial Area 1068,0.2848672831586819,0.2880968031428166,0.624110441505658,0.27149557848890693,0.5106737886014612
Poonch PCC Office 1075,0.6089608613899331,0.3321388916595083,0.6637878239412773,,
Rajouri PCC Office Near Panja Chowk 1073,0.17144890470989577,0.07214541401396847,0.42868206272265275,,
Ramban PCC Office 1064,0.16001855947947985,0.15823925933930666,0.4052491435737672,,
Reasi PCC Office Building Mini Secretariat 1067,0.6717218582442598,0.4290120324379376,0.34784229772708974,,
Samba PCC Office Phase -1 1066,0.7454910323422291,0.6175448436541013,0.6905766262535351,0.6333528292048471,0.7639776309599743
Udhampur PCC Office Battal Ballian 1063,0.8585834133673355,0.7991229705756476,0.5789215145224529,0.7569946416455976,0.7639776309599743
"Anantnag (PM-10, PM-2.5) 1084",0.2421866749296368,0.13941754631849007,0.1778847590465454,0.4601445641940974,-0.01831315067416422
"Bandipora (PM-10, PM-2.5) 1085",0.748630521061154,0.46473073927498276,-0.4400806505263548,-0.08131634712680481,0.4647735628732396
"Baramulla DFO Office (PM-10, PM-2.5) 1078",-0.07186801073891473,-0.40321024930260585,-0.5134040203049715,0.5653729253267151,0.807302258922513
"Baramulla JKPCC Office (PM-10, PM-2.5) 1079",0.4838310752846852,-0.16647031281416677,0.5770789792453542,0.6090797620565136,0.5112558661229378
Lasjan Budgam (PM-10) 913,0.2227067292353056,0.19756807092173206,,0.22849005369984993,0.27320324256865824
"SIDCO Complex Ompora Budgam (PM-10, PM-2.5) 1081",0.8259327093257046,0.48274314711048627,0.6936182972334188,0.5647207628106539,0.519810593642426
"Ganderbal DFO Office (PM-10, PM-2.5) 1083",0.744067347696371,0.7122469704410347,0.8140028192917531,0.37756107528554067,0.21448066221397416
"Kulgam near D.I.C Building (PM-10, PM-2.5) 1086",0.713831311030573,0.5802629604273061,0.4056144338962855,0.5580214705108099,0.5360339942787978
"Kupwara JKPCC (PM-10, PM-2.5)",0.834394337143332,0.49857935117997154,0.2086400088219595,0.33989737874678877,0.27189494213677096
"I.G.C Lassipora Pulwama (PM-10, PM-2.5) 1082",-0.5709629113202747,-0.525483102910092,-0.5268857515581813,-0.05537416329756255,0.34177311475571825
Khrew Pulwama (PM-10) 912,0.705192487545956,0.74362632249614,,0.7111195398966856,0.32714335778585074
"Shopian Bongam  (PM-10, PM-2.5) 1080",0.12475411207226646,0.16541411405401357,0.2335534619890898,0.3688971851052355,0.27001715678415156
"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",0.9102317702569559,0.80789216949122,0.11095382852537837,0.7183300349489096,0.7963545161686703
Dalgate Boulvard Srinagar (PM-2.5),0.6369478550873067,,0.5571643065868516,,
"Hokersar Wildlife Office (PM-10, PM-2.5) 1076",0.586748961689512,-0.3287074703359663,0.2511199316836371,0.7110912968168166,0.7774599093402847
Hyderpora (Paraypora) Srinagar (PM-2.5),0.5625024947849808,,0.6333910825917495,,
"J&K PCC Rajbagh Srinagar (PM-10, PM-2.5) 910",0.8551563607384897,0.8659666407700705,0.4176217173319058,0.4741895535004013,0.7470875651240179
Jehangir Chowk Srinagar (PM-2.5),0.7277428197140693,,0.5660741142550907,,
Khonmoh Srinagar (PM-10) 911,0.7659205786604093,0.7994815851180938,,0.6816797904030073,0.27581601001094097
Kralsangri Srinagar (PM-10),0.4032279718044771,0.6390883562525108,0.9437914953080041,0.4565027754847627,0.6235287818040256
Soura Near SKIMS Srinagar (PM-2.5),0.7424786832871058,,0.480276708063884,,
Zakura Srinagar (PM-10),0.46909528908079984,0.460352802606336,,0.3372367090893955,0.4862498053494527
