iter	Passed	Remaining
0	0	88
1	0	67
2	0	59
3	0	56
4	1	52
5	1	49
6	1	47
7	1	47
8	1	46
9	1	45
10	2	43
11	2	43
12	2	42
13	2	41
14	2	41
15	2	40
16	2	40
17	3	39
18	3	40
19	3	40
20	3	40
21	3	40
22	4	40
23	4	40
24	4	40
25	4	41
26	5	44
27	5	45
28	6	46
29	6	46
30	6	45
31	6	45
32	6	44
33	6	44
34	7	43
35	7	43
36	7	42
37	7	42
38	7	42
39	7	41
40	8	41
41	8	41
42	8	40
43	8	40
44	8	40
45	9	40
46	9	40
47	9	39
48	9	39
49	9	39
50	9	38
51	10	38
52	10	37
53	10	37
54	10	37
55	10	36
56	10	36
57	10	36
58	11	35
59	11	35
60	11	35
61	11	34
62	11	34
63	11	34
64	11	33
65	12	33
66	12	33
67	12	33
68	12	32
69	12	32
70	12	31
71	12	31
72	12	31
73	13	31
74	13	30
75	13	30
76	13	30
77	13	29
78	13	29
79	13	29
80	13	28
81	13	28
82	14	28
83	14	27
84	14	27
85	14	27
86	14	26
87	14	26
88	14	26
89	14	26
90	14	25
91	14	25
92	14	25
93	15	24
94	15	24
95	15	24
96	15	24
97	15	23
98	15	23
99	15	23
100	15	23
101	15	22
102	15	22
103	15	22
104	16	22
105	16	22
106	16	21
107	16	21
108	16	21
109	16	21
110	16	21
111	16	20
112	17	20
113	17	20
114	17	20
115	17	20
116	17	20
117	17	19
118	17	19
119	18	19
120	18	19
121	18	19
122	18	19
123	19	19
124	19	19
125	19	19
126	19	18
127	19	18
128	19	18
129	20	18
130	20	18
131	20	18
132	20	17
133	20	17
134	20	17
135	20	17
136	21	17
137	21	17
138	21	17
139	21	16
140	21	16
141	21	16
142	21	16
143	21	16
144	22	15
145	22	15
146	22	15
147	22	15
148	22	15
149	22	15
150	22	15
151	23	14
152	23	14
153	23	14
154	23	14
155	23	14
156	23	14
157	23	13
158	23	13
159	24	13
160	24	13
161	24	13
162	24	13
163	24	12
164	24	12
165	24	12
166	24	12
167	25	12
168	25	12
169	25	11
170	25	11
171	25	11
172	25	11
173	25	11
174	26	11
175	26	11
176	26	10
177	26	10
178	26	10
179	26	10
180	26	10
181	27	10
182	27	9
183	27	9
184	27	9
185	27	9
186	27	9
187	27	9
188	27	9
189	28	8
190	28	8
191	28	8
192	28	8
193	28	8
194	28	8
195	28	7
196	29	7
197	29	7
198	29	7
199	29	7
200	29	7
201	29	7
202	29	6
203	30	6
204	30	6
205	30	6
206	30	6
207	30	6
208	30	6
209	30	5
210	31	5
211	31	5
212	31	5
213	31	5
214	31	5
215	31	5
216	32	4
217	32	4
218	32	4
219	32	4
220	32	4
221	33	4
222	33	4
223	33	3
224	33	3
225	33	3
226	33	3
227	34	3
228	34	3
229	34	2
230	34	2
231	34	2
232	34	2
233	34	2
234	35	2
235	35	2
236	35	1
237	35	1
238	35	1
239	35	1
240	35	1
241	36	1
242	36	1
243	36	0
244	36	0
245	36	0
246	36	0
247	36	0
248	37	0
249	37	0
