Station,PM10,AQI,NO2,District,PM2_5,SO2,Date,Region
Doda PCC Office Near Bus Stand 1065,86.0,86.0,23.0,Doda,35.0,2.0,3991-01-02,Jammu
Doda PCC Office Near Bus Stand 1065,72.0,72.0,12.0,Doda,35.0,6.0,3991-02-02,Jammu
Doda PCC Office Near Bus Stand 1065,75.0,75.0,15.0,Doda,36.0,6.0,3991-03-02,Jammu
Doda PCC Office Near Bus Stand 1065,78.0,79.0,13.0,Doda,38.0,4.0,3991-04-02,Jammu
Doda PCC Office Near Bus Stand 1065,82.0,83.0,16.0,Doda,39.0,4.0,3991-05-02,Jammu
Doda PCC Office Near Bus Stand 1065,85.0,86.0,16.0,Doda,41.0,4.0,3991-06-02,Jammu
Doda PCC Office Near Bus Stand 1065,88.0,88.0,18.0,Doda,42.0,2.0,3991-07-02,Jammu
Doda PCC Office Near Bus Stand 1065,78.0,79.0,12.0,Doda,40.0,4.0,3991-08-02,Jammu
Doda PCC Office Near Bus Stand 1065,82.0,82.0,21.0,Doda,30.0,2.0,3991-09-02,Jammu
Doda PCC Office Near Bus Stand 1065,82.0,82.0,13.0,Doda,32.0,4.0,3991-10-02,Jammu
Doda PCC Office Near Bus Stand 1065,83.0,83.0,12.0,Doda,34.0,5.0,3991-11-02,Jammu
Doda PCC Office Near Bus Stand 1065,85.0,86.0,12.0,Doda,37.0,6.0,3991-12-02,Jammu
Doda PCC Office Near Bus Stand 1065,81.0,81.0,11.0,Doda,32.0,5.0,3992-01-02,Jammu
Doda PCC Office Near Bus Stand 1065,85.0,85.0,10.0,Doda,34.0,5.0,3992-02-02,Jammu
Doda PCC Office Near Bus Stand 1065,78.0,78.0,10.0,Doda,40.0,4.0,3992-03-01,Jammu
Doda PCC Office Near Bus Stand 1065,78.0,78.0,14.0,Doda,38.0,7.0,3992-04-01,Jammu
Doda PCC Office Near Bus Stand 1065,83.0,83.0,14.0,Doda,38.0,5.0,3992-05-01,Jammu
Doda PCC Office Near Bus Stand 1065,85.0,85.0,16.0,Doda,35.0,3.0,3992-06-01,Jammu
Doda PCC Office Near Bus Stand 1065,88.0,88.0,15.0,Doda,28.0,3.0,3992-07-01,Jammu
Doda PCC Office Near Bus Stand 1065,90.0,90.0,16.0,Doda,22.0,3.0,3992-08-01,Jammu
Doda PCC Office Near Bus Stand 1065,86.0,86.0,19.0,Doda,41.0,7.0,3992-09-01,Jammu
Doda PCC Office Near Bus Stand 1065,79.0,79.0,15.0,Doda,42.0,3.0,3992-10-01,Jammu
Doda PCC Office Near Bus Stand 1065,85.0,85.0,15.0,Doda,47.0,5.0,3992-11-01,Jammu
Doda PCC Office Near Bus Stand 1065,84.0,84.0,16.0,Doda,38.0,3.0,3992-12-01,Jammu
Doda PCC Office Near Bus Stand 1065,82.0,82.0,11.0,Doda,35.0,2.0,3993-01-01,Jammu
Doda PCC Office Near Bus Stand 1065,87.0,87.0,14.0,Doda,35.0,3.0,3993-02-01,Jammu
Doda PCC Office Near Bus Stand 1065,88.0,88.0,13.0,Doda,34.0,3.0,3993-03-02,Jammu
Doda PCC Office Near Bus Stand 1065,89.0,89.0,16.0,Doda,38.0,5.0,3993-04-02,Jammu
Doda PCC Office Near Bus Stand 1065,87.0,87.0,13.0,Doda,37.0,5.0,3993-05-02,Jammu
Doda PCC Office Near Bus Stand 1065,83.0,83.0,10.0,Doda,35.0,3.0,3993-06-02,Jammu
Doda PCC Office Near Bus Stand 1065,88.0,88.0,17.0,Doda,39.0,5.0,3993-07-02,Jammu
Doda PCC Office Near Bus Stand 1065,90.0,90.0,15.0,Doda,37.0,6.0,3993-08-02,Jammu
Doda PCC Office Near Bus Stand 1065,84.0,84.0,13.0,Doda,38.0,2.0,3993-09-02,Jammu
Doda PCC Office Near Bus Stand 1065,88.0,88.0,5.0,Doda,35.0,2.0,3993-10-02,Jammu
Doda PCC Office Near Bus Stand 1065,89.0,89.0,10.0,Doda,33.0,2.0,3993-11-02,Jammu
Doda PCC Office Near Bus Stand 1065,87.0,88.0,14.0,Doda,34.0,3.0,3993-12-02,Jammu
Doda PCC Office Near Bus Stand 1065,85.0,85.0,15.0,Doda,42.0,4.0,3994-01-02,Jammu
Doda PCC Office Near Bus Stand 1065,86.0,86.0,17.0,Doda,40.0,7.0,3994-02-02,Jammu
Doda PCC Office Near Bus Stand 1065,89.0,89.0,23.0,Doda,34.0,3.0,3994-03-02,Jammu
Doda PCC Office Near Bus Stand 1065,87.0,87.0,11.0,Doda,37.0,3.0,3994-04-02,Jammu
Doda PCC Office Near Bus Stand 1065,83.0,83.0,11.0,Doda,39.0,4.0,3994-05-02,Jammu
Doda PCC Office Near Bus Stand 1065,87.0,87.0,18.0,Doda,38.0,2.0,3994-06-02,Jammu
Doda PCC Office Near Bus Stand 1065,86.0,86.0,21.0,Doda,37.0,2.0,3994-07-02,Jammu
Doda PCC Office Near Bus Stand 1065,83.0,83.0,14.0,Doda,35.0,3.0,3994-08-02,Jammu
Doda PCC Office Near Bus Stand 1065,51.0,52.0,15.0,Doda,35.0,2.0,3994-09-02,Jammu
Doda PCC Office Near Bus Stand 1065,63.0,63.0,17.0,Doda,43.0,3.0,3994-10-02,Jammu
Doda PCC Office Near Bus Stand 1065,47.0,48.0,17.0,Doda,38.0,2.0,3994-11-02,Jammu
Doda PCC Office Near Bus Stand 1065,51.0,57.0,16.0,Doda,37.0,3.0,3994-12-02,Jammu
