Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2,Calculated_AQI,Data_Quality_Tier
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-01-01,108.0,108.0,46.0,26.0,4.0,106.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-02-01,280.0,280.0,60.0,32.0,5.0,230.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-03-01,254.0,254.0,92.0,34.0,5.0,204.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-04-01,161.0,161.0,64.0,35.0,3.0,141.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-05-01,217.0,217.0,88.0,34.0,4.0,193.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-06-01,169.0,169.0,65.0,35.0,3.0,146.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-07-01,87.0,87.0,38.0,16.0,2.0,87.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-08-01,121.0,115.0,46.0,19.0,3.0,110.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-09-01,93.0,93.0,23.0,21.0,3.0,93.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-10-01,145.0,145.0,47.0,26.0,3.7464920634920627,130.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-11-01,144.0,144.0,46.0,29.29892857142857,3.672380952380952,130.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-12-01,147.0,147.0,66.0,29.427276334776334,3.5096984126984125,132.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-01-01,149.0,130.0,59.0,19.0,2.0,120.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-02-01,128.02127837075207,125.42929853479855,52.21619047619047,23.574500721500716,3.0934600105776577,117.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-03-01,128.0,128.0,51.0,22.0,3.0,119.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-04-01,114.0,114.0,38.0,19.0,2.0,110.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-05-01,106.0,106.0,32.0,13.0,2.0,104.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-06-01,100.0,100.0,33.0,21.0,3.0,100.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-07-01,100.0,100.0,19.0,15.0,2.0,100.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-08-01,92.0,92.0,30.0,18.0,3.0,92.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-09-01,84.0,84.0,5.0,16.0,3.0,84.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-10-01,94.0,94.0,12.0,19.0,3.0,94.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-11-01,107.0,107.0,37.0,24.0,4.0,105.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-12-01,130.0,130.0,39.0,19.0,2.0,120.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-01-01,122.0,122.0,41.0,25.0,3.0,115.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-02-01,121.0,121.0,42.0,21.0,3.0,114.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-03-01,124.0,124.0,38.0,19.0,3.0,116.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-04-01,110.0,110.0,34.0,19.0,2.0,107.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-05-01,113.0,113.0,36.0,17.0,3.0,109.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-06-01,112.0,112.0,36.0,25.0,4.0,108.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-07-01,93.0,93.0,32.0,15.0,2.0,93.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-08-01,72.0,72.0,17.0,9.0,1.0,72.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-09-01,92.0,92.0,31.0,20.286968253968258,2.791397795015442,92.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-10-01,127.0,127.0,14.0,23.0,4.0,118.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-11-01,173.65453968253973,156.0,25.0,30.0,6.0,138.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2024-12-01,200.33911111111112,185.678,62.0,36.0,6.0,157.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-01-01,180.0,180.0,78.0,34.0,4.0,159.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-02-01,150.0,118.0,93.0,13.0,2.0,208.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-03-01,107.0,107.0,44.0,30.0,3.0,105.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-04-01,122.0,122.0,73.0,25.0,3.0,142.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-05-01,120.0,120.0,70.0,23.44255772005772,2.8764954196130663,132.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-06-01,108.0,108.0,51.0,21.65820707070707,2.6035799200799206,106.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-07-01,87.0,87.0,31.0,22.0,2.0,87.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-08-01,70.0,70.0,31.0,22.0,2.0,70.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-09-01,82.0,82.0,34.0,20.0,2.0,82.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-10-01,107.0,107.0,44.0,24.0,4.0,105.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-11-01,148.0,148.0,66.0,34.0,3.0,132.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2025-12-01,152.0,153.0025476190476,51.0,35.0,4.0,136.0,Tier_1_Gold
