Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2,month
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-01,86.0,86.0,35.0,34.4,5.109963274868143,1
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-02,72.0,72.0,35.0,13.668137336412919,5.178190013209606,2
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-03,74.30552082723206,75.2,36.4,13.668137336412919,5.178190013209606,3
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-04,74.30552082723206,78.4,37.8,13.679813096019776,5.178190013209606,4
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-05,47.04,78.4,33.584996280103404,12.029465440482113,4.559788422599942,5
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-06,88.0,88.0,31.598463865707167,12.775387347202413,4.381460382771765,6
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-07,88.0,88.0,42.0,12.713921003494121,4.068826163558235,7
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-08,79.0,78.0,40.0,13.11940400806799,4.247154203386412,8
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-09,82.0,82.0,30.0,13.686896326577932,3.9322604420830616,9
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-10,82.45422155603832,82.5,32.0,13.536550314096734,4.001124998390357,10
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-11,83.0,83.0,34.0,14.791113316218954,4.001124998390357,11
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-12,81.79353606020129,85.0,37.0,14.347936013000098,4.156633564423238,12
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-01,81.0,81.0,32.0,13.657600580762335,3.8021243346250007,1
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-02,85.0,85.0,34.0,14.460943417830025,4.381460382771765,2
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-03,78.0,78.0,40.0,13.657600580762335,4.247154203386412,3
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-04,78.0,78.0,38.0,13.770607985592262,4.9593421035452545,4
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-05,83.0,83.0,38.0,13.536550314096734,4.9593421035452545,5
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-06,85.0,85.0,35.0,13.093373010877878,4.156633564423238,6
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-07,88.0,88.0,28.0,14.112556282630395,2.996268314279938,7
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-08,90.0,90.0,22.0,14.887077413927141,2.91363966763336,8
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-09,86.0,86.0,41.0,14.460917584901292,4.068826163558235,9
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-10,79.0,79.0,42.0,14.040968444137892,4.247154203386412,10
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-11,85.0,85.0,47.0,14.460943417830025,5.781801426080476,11
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-12,84.0,84.0,38.0,13.38513725483548,4.068826163558235,12
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-01,82.0,82.0,35.0,13.833456657175056,4.247154203386412,1
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-02,87.0,87.0,35.0,14.225563687460323,4.222350639507493,2
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-03,88.0,88.0,34.0,14.049488409003796,3.623796294796823,3
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-04,89.0,89.0,38.0,14.289492251822951,4.068826163558235,4
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-05,87.0,87.0,37.0,14.142931921225827,4.068826163558235,5
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-06,83.0,83.0,35.0,14.541921988288747,4.247154203386412,6
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-07,88.0,88.0,39.0,14.433564528837005,4.156633564423238,7
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-08,90.0,90.0,37.0,14.81949409744993,4.068826163558235,8
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-09,84.0,84.0,38.0,14.460917584901292,4.068826163558235,9
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-10,88.0,88.0,35.0,14.550863713411886,4.068826163558235,10
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-11,88.77416123138359,89.0,33.0,14.289492251822951,3.623796294796823,11
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-12,88.77416123138359,87.0,34.0,14.142931921225827,3.623796294796823,12
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-01,85.0,85.0,42.0,14.541921988288747,4.068826163558235,1
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-02,86.0,86.0,40.0,14.75155019251247,4.068826163558235,2
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-03,89.0,89.0,34.0,14.433564528837005,3.623796294796823,3
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-04,87.0,87.0,37.0,14.289492251822951,4.068826163558235,4
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-05,83.0,83.0,39.0,14.541921988288747,4.247154203386412,5
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-06,87.0,87.0,38.0,14.225563687460323,4.156633564423238,6
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-07,86.0,86.0,37.0,14.367474072679261,4.068826163558235,7
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-08,83.0,83.0,35.0,14.543549351135788,4.247154203386412,8
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-09,52.0,51.0,35.0,9.23410712798914,3.5616387852559606,9
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-10,63.0,63.0,43.0,11.886142388827746,6.388999994948004,10
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-11,48.0,47.0,38.0,8.54031975677573,4.080220676293706,11
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-12,57.0,51.0,37.0,9.368367397481475,4.887901018024874,12
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2026-01,55.0,55.0,36.0,11.323738717162799,5.539131844085375,1
