Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-01-01,86.0,86.0,35.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-02-01,72.0,72.0,35.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-03-01,,,,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-04-01,,,,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-05-01,,,,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-06-01,,,,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-07-01,88.0,88.0,42.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-08-01,79.0,78.0,40.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-09-01,82.0,82.0,30.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-10-01,,,,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-11-01,83.0,83.0,34.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2022-12-01,,85.0,37.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-01-01,81.0,81.0,32.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-02-01,85.0,85.0,34.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-03-01,78.0,78.0,40.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-04-01,78.0,78.0,38.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-05-01,83.0,83.0,38.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-06-01,85.0,85.0,35.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-07-01,88.0,88.0,28.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-08-01,90.0,90.0,22.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-09-01,86.0,86.0,41.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-10-01,79.0,79.0,42.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-11-01,85.0,85.0,47.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2023-12-01,84.0,84.0,38.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-01-01,82.0,82.0,35.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-02-01,87.0,87.0,35.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-03-01,88.0,88.0,34.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-04-01,89.0,89.0,38.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-05-01,87.0,87.0,37.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-06-01,83.0,83.0,35.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-07-01,88.0,88.0,39.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-08-01,90.0,90.0,37.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-09-01,84.0,84.0,38.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-10-01,88.0,88.0,35.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-11-01,,89.0,33.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2024-12-01,,87.0,34.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-01-01,85.0,85.0,42.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-02-01,86.0,86.0,40.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-03-01,89.0,89.0,34.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-04-01,87.0,87.0,37.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-05-01,83.0,83.0,39.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-06-01,87.0,87.0,38.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-07-01,86.0,86.0,37.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-08-01,83.0,83.0,35.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-09-01,52.0,51.0,35.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-10-01,63.0,63.0,43.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-11-01,48.0,47.0,38.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-12-01,57.0,,,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2026-01-01,55.0,55.0,36.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2026-02-01,51.0,51.0,37.0,,
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2026-03-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-01-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-02-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-03-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-04-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-05-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-06-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-07-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-08-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-09-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-10-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-11-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-12-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-01-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-02-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-03-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-04-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-05-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-06-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-07-01,,,,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-08-01,64.0,64.0,25.0,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-09-01,59.0,59.0,27.0,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-10-01,52.0,52.0,26.0,,
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-11-01,40.0,40.0,25.0,13.0,2.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-12-01,68.0,68.0,,,1.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-01-01,65.0,65.0,29.0,6.0,2.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-02-01,66.0,66.0,28.0,5.0,2.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-03-01,81.0,81.0,30.0,9.0,4.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-04-01,73.0,73.0,28.0,4.0,1.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-05-01,88.0,88.0,33.0,7.0,2.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-06-01,88.0,88.0,36.0,8.0,2.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-07-01,69.0,69.0,25.0,5.0,2.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-08-01,54.0,54.0,15.0,5.0,2.0
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-09-01,71.0,71.0,25.0,,
