Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jan/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Feb/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Mar/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Apr/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",May/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jun/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jul/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Aug/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Sep/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Oct/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Nov/2022,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Dec/2022,121,68,53,13,8
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jan/2023,102,61,40,12,6
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Feb/2023,107,63,44,14,8
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Mar/2023,115,81,33,14,7
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Apr/2023,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",May/2023,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jun/2023,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jul/2023,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Aug/2023,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Sep/2023,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Oct/2023,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Nov/2023,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Dec/2023,96,64,32,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jan/2024,132,132,,26,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Feb/2024,132,132,45,23,9
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Mar/2024,123,123,21,18,8
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Apr/2024,98,98,52,22,10
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",May/2024,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jun/2024,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jul/2024,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Aug/2024,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Sep/2024,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Oct/2024,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Nov/2024,161,161,50,29,14
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Dec/2024,,131,59,16,10
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jan/2025,104,92,51,12,7
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Feb/2025,120,120,58,15,8
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Mar/2025,93,93,40,13,6
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Apr/2025,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",May/2025,74,74,31,10,5
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jun/2025,113,113,55,8,3
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jul/2025,112,112,,14,6
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Aug/2025,118,118,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Sep/2025,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Oct/2025,114,114,,13,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Nov/2025,127,127,,17,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Dec/2025,136,136,,17,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Jan/2026,104,104,,13,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Feb/2026,,,,,
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",Mar/2026,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Jan/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Feb/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Mar/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Apr/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",May/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Jun/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Jul/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Aug/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Sep/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Oct/2022,80,45,34,11,6
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Nov/2022,,,,,
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Dec/2022,109,66,42,15,9
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Jan/2023,108,65,43,13,7
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Feb/2023,109,74,35,15,9
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Mar/2023,121,97,23,19,11
Kashmir,Srinagar,"Bagh-Ali Mardan Khan (PM-10, PM-2.5) 1077",Apr/2023,,,,,
